,,,,,,,,,,,,
Theme,Subtheme,Set #,Set Name,Age,Piece Count,Retirement Date,LEGO.com Link,,,,,"Notes: (Exclusivity, release, etc.)"
Botanicals,Botanical Collection,11506,Rocking Plants,9+,253,"Dec 31, 2028",US,CA,UK,AU,MX,
Botanicals,Botanical Collection,11508,Daisies,9+,133,"Dec 31, 2028",US,CA,UK,AU,MX,
Botanicals,Botanical Collection,11509,Flowering Cactus,9+,482,"Dec 31, 2028",US,CA,UK,AU,MX,
Botanicals,Botanical Collection,11503,Flower Wall,18+,,"Dec 31, 2028",US,CA,UK,AU,MX,
Botanicals,Botanical Collection,11505,Woodland Mushrooms,,806,"Dec 31, 2028",US,CA,UK,AU,MX,
Botanicals,Botanical Collection,11511,Water Lilies,,259,"Dec 31, 2028",US,CA,UK,AU,MX,
Botanicals,Botanical Collection,11514,Cosmos Flowers,,171,"Dec 31, 2028",US,CA,UK,AU,MX,
BrickHeadz,Disney,40674,Stitch,10+,152,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
BrickHeadz,Disney,40749,"Joy, Sadness & Anxiety",10+,300,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
BrickHeadz,Disney,40752,"Carl, Russell, & Kevin ",10+,308,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
BrickHeadz,Harry Potter,40791,The Goblet of Fire Figures,10+,671,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
BrickHeadz,Star Wars,40795,Luke Skywalker (Rebel Pilot),,,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
BrickHeadz,Disney,40797,Eeyore,10+,156,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
BrickHeadz,Stranger Things,40801,"Mike, Dustin, Lucas and Will",10+,542,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
BrickHeadz,Harry Potter,40802,Luna Lovegood & Thestral Figures,10+,292,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
BrickHeadz,Transformers,40803,Optimus Prime Robot & Vehicle,10+,237,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
BrickHeadz,Transformers,40804,Bumblebee Robot & Vehicle,,,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
BrickHeadz,Stranger Things,40879,"Eleven, Max, Demogorgon and Holly Figures",10+,584,"Dec 31, 2026",US,CA,UK,AU,MX,
BrickHeadz,Fortnite,40881,Supply Llama & Fishstick Figures,10+,300,"Dec 31, 2026",US,CA,UK,AU,MX,
BrickHeadz,Fortnite,40884,Drift & Raven Figures,10+,280,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
BrickHeadz,Transformers,40924,Megatron Robot & Vehicle,,224,"Dec 31, 2026",US,CA,UK,AU,MX,
BrickHeadz,Disney,40619,EVE & WALL-E,10+,155,"Dec 31, 2027",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
BrickHeadz,Star Wars,40856,The Mandalorian and Grogu: Allies & Villains,10+,661,"Dec 31, 2027",US,CA,UK,AU,MX,
BrickHeadz,Disney,40861,"Sulley, Mike and Boo Figures",10+,303,"Dec 31, 2027",US,CA,UK,AU,MX,
BrickHeadz,Disney,40860,Toy Story,,528,"Dec 31, 2027",US,CA,UK,AU,MX,
BrickHeadz,Shrek,40923,"Shrek, Donkey & Gingy Figures",,259,"Dec 31, 2027",US,CA,UK,AU,MX,
BrickHeadz,Disney,40925,Alice in Wonderland,,601,"Dec 31, 2027",US,CA,UK,AU,MX,
BrickHeadz,TMNT,40878,Teenage Mutant Ninja Turtles Figures,10+,567,"Dec 31, 2028",US,CA,UK,AU,MX,
BrickHeadz,Disney,40922,Angel,10+,133,"Dec 31, 2028",US,CA,UK,AU,MX,
City,- ,60368,Arctic Explorer Ship,7+,815,"Jul 31, 2026",US,CA,UK,AU,MX,
City,-,60440,Yellow Delivery Truck,8+,1061,"Jul 31, 2026",US,CA,UK,AU,MX,(NA) Exclusive to Costco
City,-,60452,Donut Truck,5+,196,"Jul 31, 2026",US,CA,UK,AU,MX,
City,-,60462,"Helicopter, Fire Engine & Submarine Remix",7+,874,"Jul 31, 2026",US,CA,UK,AU,MX,
City,-,60467,Tow Truck,,,"Jul 31, 2026",US,CA,UK,AU,MX,
City,All,60473,The City Tower,8+,1941,"Jul 31, 2026",US,CA,UK,AU,MX,
City,-,30719,Go-Kart Racer (Polybag),5+,48,"Dec 31, 2026",n/a,n/a,n/a,n/a,n/a,
City,- ,60312,Police Car,5+,94,"Dec 31, 2026",US,CA,UK,AU,MX,
City,- ,60316,Police Station,6+,668,"Dec 31, 2026",US,CA,UK,AU,MX,
City,- ,60337,Express Passenger Train,7+,764,"Dec 31, 2026",US,CA,UK,AU,MX,
City,-,60400,Go-Karts and Race Drivers,5+,99,"Dec 31, 2026",US,CA,UK,AU,MX,
City,-,60402,Monster Truck,5+,148,"Dec 31, 2026",US,CA,UK,AU,MX,
City,-,60404,Burger Van,5+,194,"Dec 31, 2026",US,CA,UK,AU,MX,
City,-,60407,Red Double-Decker Sightseeing Bus,7+,384,"Dec 31, 2026",US,CA,UK,AU,MX,
City,-,60419,Police Prison Island,7+,980,"Dec 31, 2026",US,CA,UK,AU,MX,
City,-,60423,Downtown Streetcat & Station,7+,811,"Dec 31, 2026",US,CA,UK,AU,MX,
City,Space,60430,Interstellar Spaceship,6+,240,"Dec 31, 2026",US,CA,UK,AU,MX,
City,Formula 1,60445,F1 Truck with RB20 & AMR24 F1 Cars,8+,1086,"Dec 31, 2026",US,CA,UK,AU,MX,
City,-,60447,Off-Road Mountain Truck,6+,221,"Dec 31, 2026",US,CA,UK,AU,MX,
City,-,60457,Custom Police Garage,,,"Dec 31, 2026",US,CA,UK,AU,MX,
City,-,60463,Fire Engine ,4+,82,"Dec 31, 2026",US,CA,UK,AU,MX,
City,Formula 1,60464,F1 Williams Racing & Haas F1 Race Cars,4+,92,"Dec 31, 2026",US,CA,UK,AU,MX,
City,-,60465,Air Ambulance,,,"Dec 31, 2026",US,CA,UK,AU,MX,
City,-,60466,Bulldozer,,,"Dec 31, 2026",US,CA,UK,AU,MX,
City,-,60469,Central Train Station,,,"Dec 31, 2026",US,CA,UK,AU,MX,
City,-,60470,Explorer Train,7+,1517,"Dec 31, 2026",US,CA,UK,AU,MX,
City,-,60471,Arctic Truck,,,"Dec 31, 2026",US,CA,UK,AU,MX,
City,Rides,60482,Fire Engine,5+,67,"Dec 31, 2026",US,CA,UK,AU,MX,
City,Rides,60484,Gaming Car,5+,64,"Dec 31, 2026",US,CA,UK,AU,MX,
City,-,60489,Jet vs. Car,6+,259,"Dec 31, 2026",US,CA,UK,AU,MX,
City,-,60490,Snowplough,6+,263,"Dec 31, 2026",US,CA,UK,AU,MX,
City,-,60491,Motorcycle Transporter,4+,88,"Dec 31, 2026",US,CA,UK,AU,MX,
City,Formula 1,60493,F1 Display Truck with Audi F1 Race Car,7+,508,"Dec 31, 2026",US,CA,UK,AU,MX,
City,-,60495,Recycling Truck,7+,434,"Dec 31, 2026",US,CA,UK,AU,MX,
City,Holiday,60510,LEGO City Advent Calendar 2026,,252,"Dec 31, 2026",US,CA,UK,AU,MX,
City,- ,60373,Fire Rescue Boat,5+,144,"Jul 31, 2027",US,CA,UK,AU,MX,
City,-,60415,Police Car and Muscle Car Chase,6+,213,"Jul 31, 2027",US,CA,UK,AU,MX,
City,-,60451,Emergency Ambulance,5+,184,"Jul 31, 2027",US,CA,UK,AU,MX,
City,-,60478,Cement Mixer,7+,371,"Jul 31, 2027",US,CA,UK,AU,MX,
City,-,60499,Airport Fire Engine,7+,691,"Jul 31, 2027",US,CA,UK,AU,MX,
City,-,60508,Police Train Heist,7+,1313,"Jul 31, 2027",US,CA,UK,AU,MX,
City,-,60496,Pizza Delivery Experience,,494,"Jul 31, 2027",US,CA,UK,AU,MX,
City,-,60501,Lava Land,,1165,"Jul 31, 2027",US,CA,UK,AU,MX,
City,-,60506,Classic Beach Tram,,693,"Jul 31, 2027",US,CA,UK,AU,MX,
City,- ,60205,Tracks,5+,20,"Dec 31, 2027",US,CA,UK,AU,MX,
City,- ,60238,Switch Tracks,5+,8,"Dec 31, 2027",US,CA,UK,AU,MX,
City,- ,60304,Road Plates,5+,112,"Dec 31, 2027",US,CA,UK,AU,MX,
City,- ,60367,Passenger Airplane,7+,913,"Dec 31, 2027",US,CA,UK,AU,MX,
City,-,60411,Fire Rescue Helicopter,5+,85,"Dec 31, 2027",US,CA,UK,AU,MX,
City,-,60414,Fire Station with Fire Engine,6+,843,"Dec 31, 2027",US,CA,UK,AU,MX,
City,Formula 1,60442,F1 Driver with McLaren Race Car,6+,86,"Dec 31, 2027",US,CA,UK,AU,MX,
City,Formula 1,60443,F1 Pit Stop & Pit Crew with Ferrari Car,6+,322,"Dec 31, 2027",US,CA,UK,AU,MX,
City,-,60454,Holiday Camper Van,6+,385,"Dec 31, 2027",US,CA,UK,AU,MX,
City,-,60455,Police Motorcycle Chase,4+,65,"Dec 31, 2027",US,CA,UK,AU,MX,
City,-,60456,Police Boat,6+,264,"Dec 31, 2027",US,CA,UK,AU,MX,
City,-,60479,Police Prisoner Transport Van,6+,198,"Dec 31, 2027",US,CA,UK,AU,MX,
City,Rides,60481,Police Truck,5+,71,"Dec 31, 2027",US,CA,UK,AU,MX,
City,Rides,60483,Loader,5+,61,"Dec 31, 2027",US,CA,UK,AU,MX,
